,distance,pref_speed
221,120492.12239823176,101.25656119911663
211,102898.61988720423,101.18530994360417
248,124348.24777847138,98.3636238892342
200,130028.76130280907,100.95338065140157
250,130337.20407930294,98.68860203965325
276,115279.03799664286,96.68801899832386
277,95057.91276585865,98.94995638292824
278,106585.36596508509,100.8611829825454
279,121746.47616087274,100.17523808043433
280,95686.09377071769,98.94754688535689
281,111593.95532260239,99.4424776612998
282,91932.18665009557,101.23359332504992
283,132512.62346083488,97.5463117304187
284,103013.6040360664,99.40530201803406
285,115306.07020353255,99.13003510176483
286,125170.18481309031,98.69209240654185
287,85076.0312810753,101.5320156405395
288,127384.11958987353,101.71905979493475
289,135396.26623984415,99.13413311992286
290,117693.39700859024,98.85819850429314
291,106100.99639169958,100.7669981958504
292,118214.62692100387,100.8473134605041
293,128177.31962488219,99.62065981244261
294,81103.5789537453,99.82378947687339
295,98881.81244436008,100.88140622218229
296,93627.31294211862,99.30415647106027
275,93728.09035344778,100.99754517672294
274,92652.71026482737,100.58335513241322
297,99816.99053713324,99.68799526856368
272,91809.2179111313,101.8731089555644
273,110564.6371051609,100.1543185525792
251,129371.48805416211,102.10874402708313
252,109185.05477740063,101.92202738869975
253,108913.08409497012,103.68054204748626
254,141975.48819572828,99.64774409786683
255,113516.1882494396,100.1910941247221
257,135831.82868313475,101.11891434156576
258,117404.09304398656,100.28354652199067
259,121402.09833136763,101.66804916568093
260,127073.61707481764,101.33280853740939
256,99725.23652551306,97.75861826275691
262,99427.62934152393,99.15731467076004
263,103458.33087016967,99.20066543508605
264,124294.14248517413,102.35057124258864
265,96061.6255933079,99.51881279665395
271,125946.03000774262,101.46201500387394
266,96516.11984041828,100.69955992020925
267,143354.73744864477,99.69686872432291
268,113400.4924765949,97.75724623829885
269,109264.86847017331,98.36293423508543
270,124110.17089740229,100.72158544870372
261,109462.85231629109,99.37742615814712
535,103031.38238250969,105.49469119125231
534,127136.08243002005,105.69004121500768
533,103787.22100399075,101.60711050199824
528,115528.06386438276,97.70053193219277
531,115535.10612240607,99.85005306120053
530,110766.06012910251,99.56903006455269
529,79692.22569097263,102.67211284548634
536,101960.0389334364,98.83501946671846
532,123970.48340949626,100.81574170474954
537,104188.54531528185,96.01427265764045
548,97921.68684451241,104.32784342225399
539,120719.26208892617,96.51213104446113
540,91308.029656019,91.94001482800759
541,109286.74570534103,98.13837285266936
542,94649.26523458556,93.49463261729167
543,109517.690932969,100.38784546648753
544,100578.56174162577,100.72778087081274
545,91961.79599131575,103.25439799565976
546,103501.95224734422,97.78497612367235
547,117339.62135297127,100.23881067648725
527,113357.21353996589,105.97560676998509
538,114103.38082190033,103.05369041095118
526,103867.15353955721,94.75007676978018
514,112922.77987498924,103.48288993749327
523,112188.56781041005,103.05828390520352
549,95216.1339651314,101.32506698256739
502,126065.7375748055,106.16536878740052
503,138925.43294515694,110.55421647257971
504,81102.3155727241,95.90665778636222
505,123529.62212447275,107.57081106223697
506,94895.02807323156,96.6355140366144
507,131672.8302126486,102.27291510632254
508,107181.27201392838,101.44113600696335
509,103481.19453270461,96.55509726635378
510,107262.73246601687,96.64486623301038
511,86159.43618433984,94.27171809216966
512,127630.64386040214,97.23382193019934
513,143758.956821484,99.5839784107443
515,138514.5597882224,102.77527989411227
516,98380.79194214729,97.09639597107284
517,110898.18607014928,99.2970930350761
